"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)","ROAS de doações","ROAS de compras","Valor de conversão das compras com assistência das lojas","Valor de conversão das compras diretas no site","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-08-08,"AD 03",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 02",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD002 - Vídeo com link de landing page",inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 01 - Influencer",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"AD 04 - Reinaldo V2",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,"#AD008 - Carrossel Catálogo  - máquinas",not_delivering,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD008,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD009,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD11,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,200,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
2026-05-01,2026-08-08,#AD11,inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,0,0,,60,Diário,0,Contínuo,–,–,–,0,0,,,,,0,0,0,,,,,0,0,,
